date,homeTeam,awayTeam,homeScore,awayScore
2024-01-31T00:00:00Z,Liverpool,Chelsea,4,1
2024-02-01T00:00:00Z,West Ham,Bournemouth,1,1
2024-02-01T00:00:00Z,Wolves,Man United,3,4
2024-02-03T00:00:00Z,Everton,Tottenham,2,2
2024-02-03T00:00:00Z,Brighton,Crystal Palace,4,1
2024-02-03T00:00:00Z,Burnley,Fulham,2,2
2024-02-03T00:00:00Z,Newcastle,Luton,4,4
2024-02-03T00:00:00Z,Sheffield United,Aston Villa,0,5
2024-02-04T00:00:00Z,Bournemouth,Nott'm Forest,1,1
2024-02-04T00:00:00Z,Chelsea,Wolves,2,4
2024-02-04T00:00:00Z,Man United,West Ham,3,0
2024-02-04T00:00:00Z,Arsenal,Liverpool,3,1
2024-02-05T00:00:00Z,Brentford,Man City,1,3
2024-02-10T00:00:00Z,Man City,Everton,2,0
2024-02-10T00:00:00Z,Fulham,Bournemouth,3,1
2024-02-10T00:00:00Z,Liverpool,Burnley,3,1
2024-02-10T00:00:00Z,Luton,Sheffield United,1,3
2024-02-10T00:00:00Z,Tottenham,Brighton,2,1
2024-02-10T00:00:00Z,Wolves,Brentford,0,2
2024-02-10T00:00:00Z,Nott'm Forest,Newcastle,2,3
2024-02-11T00:00:00Z,West Ham,Arsenal,0,6
2024-02-11T00:00:00Z,Aston Villa,Man United,1,2
2024-02-12T00:00:00Z,Crystal Palace,Chelsea,1,3
2024-02-17T00:00:00Z,Brentford,Liverpool,1,4
2024-02-17T00:00:00Z,Burnley,Arsenal,0,5
2024-02-17T00:00:00Z,Fulham,Aston Villa,1,2
2024-02-17T00:00:00Z,Newcastle,Bournemouth,2,2
2024-02-17T00:00:00Z,Nott'm Forest,West Ham,2,0
2024-02-17T00:00:00Z,Tottenham,Wolves,1,2
2024-02-17T00:00:00Z,Man City,Chelsea,1,1
2024-02-18T00:00:00Z,Sheffield United,Brighton,0,5
2024-02-18T00:00:00Z,Luton,Man United,1,2
2024-02-19T00:00:00Z,Everton,Crystal Palace,1,1
2024-02-20T00:00:00Z,Man City,Brentford,1,0
2024-02-21T00:00:00Z,Liverpool,Luton,4,1
2024-02-24T00:00:00Z,Aston Villa,Nott'm Forest,4,2
2024-02-24T00:00:00Z,Brighton,Everton,1,1
2024-02-24T00:00:00Z,Crystal Palace,Burnley,3,0
2024-02-24T00:00:00Z,Man United,Fulham,1,2
2024-02-24T00:00:00Z,Bournemouth,Man City,0,1
2024-02-24T00:00:00Z,Arsenal,Newcastle,4,1
2024-02-25T00:00:00Z,Wolves,Sheffield United,1,0
2024-02-26T00:00:00Z,West Ham,Brentford,4,2
2024-03-02T00:00:00Z,Brentford,Chelsea,2,2
2024-03-02T00:00:00Z,Everton,West Ham,1,3
2024-03-02T00:00:00Z,Fulham,Brighton,3,0
2024-03-02T00:00:00Z,Newcastle,Wolves,3,0
2024-03-02T00:00:00Z,Nott'm Forest,Liverpool,0,1
2024-03-02T00:00:00Z,Tottenham,Crystal Palace,3,1
